date,match,home,draw,away
Tomorrow,San Marino -St Kitts and Nevis,3.00,3.20,2.30
Tomorrow,Ecuador -Italy,3.30,3.30,2.10
Tomorrow,Guatemala -Venezuela,5.25,3.75,1.60
Tuesday,Azerbaijan -Bulgaria,2.75,3.00,2.60
Tuesday,Cyprus -Serbia,10.00,5.50,1.25
Tuesday,Montenegro -North Macedonia,2.60,3.00,2.75
Tuesday,Sweden -Albania,1.61,4.00,4.75
Wednesday,Hungary -Kosovo,1.61,3.50,5.75
Wednesday,Norway -Slovakia,1.72,3.60,4.50
Wednesday,Czech Republic -Armenia,1.36,4.50,8.00
Wednesday,Denmark -Faroe Islands,1.10,8.50,19.00
Wednesday,Uruguay -Ivory Coast,2.20,3.30,3.10
Wednesday,England -Belgium,1.95,3.50,3.50
Wednesday,Germany -Netherlands,1.90,3.60,3.60
